105406,Roberto Marcora,M,ITA,Null,R,1989
208055,Ajeet Rai,M,NZL,Null,R,2000
105015,Franko Skugor,Null,CRO,193.0,R,1990
106043,Diego Schwartzman,Null,ARG,170.0,R,1992
126774,Stefanos Tsitsipas,M,GRE,193.0,R,1998
105819,Guido Andreozzi,M,ARG,Null,R,1991
105373,Martin Klizan,M,SVK,190.0,L,1989
105023,Sam Querrey,M,USA,198.0,R,1987
105051,Matthew Ebden,M,AUS,188.0,R,1987
106298,Lucas Pouille,M,FRA,185.0,R,1994
126207,Frances Tiafoe,Null,USA,188.0,R,1997
202429,Camila Giorgi,F,ITA,168.0,R,1991
201444,Su Wei Hsieh,F,TPE,169.0,R,1985
214544,Aryna Sabalenka,F,BLR,182.0,R,1998
201490,Timea Bacsinszky,F,SUI,Null,R,1991
201495,Dominika Cibulkova,F,SVK,161.0,R,1991
213583,Tatjana Maria,F,GER,Null,R,1987
202469,Garbine Muguruza,F,ESP,182.0,R,1993
206420,Ekaterina Alexandrova,F,RUS,175.0,R,1994
201620,Monica Puig,F,PUR,170.0,R,1994
202458,Ashleigh Barty,F,AUS,166.0,R,1996
211533,Jelena Ostapenko,F,LAT,177.0,R,1997
201493,Angelique Kerber,F,GER,173.0,L,1987
201594,Simona Halep,F,ROU,168.0,R,1991
106186,Jason Kubler,M,AUS,Null,R,1993
201527,Stefanie Voegele,F,SUI,170.0,R,1990
214956,Miriam Kolodziejova,F,CZE,Null,R,1997
205923,Abbie Myers,F,AUS,Null,R,1995
213666,Maddison Inglis,F,AUS,171.0,R,1997
201610,Zarina Diyas,F,KAZ,172.0,R,1993
201366,Barbora Zahlavova Strycova,F,CZE,164.0,R,1986
215811,Alexandra Bozovic,F,AUS,Null,U,1998
205815,Eri Hozumi,F,JPN,Null,R,1994
201318,Bethanie Mattek Sands,F,USA,168.0,R,1985
214461,Tamara Zidansek,F,SLO,168.0,R,1997
104745,Rafael Nadal,M,ESP,185.0,L,1986
103819,Roger Federer,M,SUI,185.0,R,1981
100644,Alexander Zverev,M,GER,198.0,R,1997
105227,Marin Cilic,M,CRO,198.0,R,1988
106432,Borna Coric,M,CRO,188.0,R,1997
105936,Filip Krajinovic,M,SRB,185.0,R,1992
104792,Gael Monfils,M,FRA,193.0,R,1986
106283,Mitchell Krueger,M,USA,Null,R,1993
105554,Daniel Evans,M,GBR,175.0,R,1990
111794,Kamil Majchrzak,M,POL,Null,R,1995
104678,Viktor Troicki,M,SRB,193.0,R,1986
144750,Lloyd Harris,Null,RSA,193.0,R,1997
200484,Rudolf Molleker,M,GER,Null,R,2000
105882,Stefano Travaglia,M,ITA,185.0,R,1991
104563,Luca Vanni,M,ITA,Null,R,1985
105967,Henri Laaksonen,M,SUI,Null,R,1992
105147,Tatsuma Ito,M,JPN,180.0,R,1988
105163,Gleb Sakharov,M,FRA,Null,R,1990
104810,Zhe Li,M,CHN,Null,R,1987
106058,Jack Sock,M,USA,185.0,R,1992
106071,Bernard Tomic,M,AUS,193.0,R,1992
104386,Janko Tipsarevic,M,SRB,180.0,R,1986
105062,Mikhail Kukushkin,M,KAZ,183.0,R,1987
104999,Mischa Zverev,M,GER,190.0,L,1987
105643,Federico Delbonis,M,ARG,190.0,L,1990
103852,Feliciano Lopez,M,ESP,188.0,L,1981
201466,Kaia Kanepi,F,EST,181.0,R,1985
213550,Sofia Kenin,F,USA,170.0,R,1998
206368,Veronika Kudermetova,F,RUS,175.0,R,1997
201427,Alize Cornet,F,FRA,173.0,R,1989
202418,Lara Arruabarrena,F,ESP,166.0,R,1992
200748,Venus Williams,F,USA,185.0,R,1980
216262,Clara Burel,F,FRA,176.0,R,2001
202446,Eugenie Bouchard,F,CAN,178.0,R,1994
201397,Shuai Peng,F,CHN,173.0,R,1987
200033,Serena Williams,F,USA,175.0,R,1981
212001,Natalia Vikhlyantseva,F,RUS,Null,R,1997
202453,Saisai Zheng,F,CHN,170.0,R,1994
203435,Dalila Jakupovic,F,SLO,Null,R,1991
216347,Iga Swiatek,F,POL,176.0,R,2001
202536,Ana Bogdan,F,ROU,Null,R,1992
201483,Madison Brengle,F,USA,Null,R,1990
201595,Misaki Doi,F,JPN,159.0,L,1991
202663,Magda Linette,F,POL,171.0,R,1991
201696,Laura Siegemund,F,GER,168.0,R,1988
201458,Victoria Azarenka,F,BLR,180.0,R,1989
202492,Qiang Wang,F,CHN,172.0,R,1991
211539,Fiona Ferro,F,FRA,170.0,R,1997
215370,Bianca Andreescu,F,CAN,170.0,R,2000
215992,Whitney Osuigwe,F,USA,Null,R,2002
201621,Mona Barthel,F,GER,185.0,R,1990
203533,Anna Karolina Schmiedlova,F,SVK,Null,R,1994
202506,Margarita Gasparyan,F,RUS,Null,R,1994
202684,Lin Zhu,F,CHN,Null,R,1994
201426,Pauline Parmentier,F,FRA,175.0,R,1986
201619,Madison Keys,F,USA,178.0,R,1995
201533,Shuai Zhang,F,CHN,177.0,R,1988
201697,Kristyna Pliskova,F,CZE,Null,L,1992
215020,Anna Blinkova,F,RUS,Null,R,1998
214149,Viktoria Kuzmova,F,SVK,Null,R,1998
201593,Irina Camelia Begu,F,ROU,181.0,R,1990
202505,Belinda Bencic,F,SUI,175.0,R,1997
216153,Amanda Anisimova,F,USA,180.0,R,2001
201512,Monica Niculescu,F,ROU,168.0,R,1987
211107,Katie Boulter,F,GBR,180.0,R,1996
201505,Ekaterina Makarova,F,RUS,Null,L,1988
214939,Anna Kalinskaya,F,RUS,Null,R,1998
202503,Luksika Kumkhum,F,THA,Null,R,1995
206374,Yafan Wang,F,CHN,Null,R,1994
206391,Ellen Perez,F,AUS,Null,L,1995
206292,Astra Sharma,F,AUS,Null,R,1995
206289,Maria Sakkari,F,GRE,172.0,R,1995
201345,Maria Sharapova,F,RUS,Null,R,1988
202490,Rebecca Peterson,F,SWE,173.0,R,1995
201514,Sorana Cirstea,F,ROU,176.0,R,1990
201596,Johanna Larsson,F,SWE,174.0,R,1990
214304,Vera Lapko,F,BLR,Null,R,1998
201496,Caroline Wozniacki,F,DEN,177.0,R,1991
202421,Alison Van Uytvanck,F,BEL,173.0,R,1994
203501,Taylor Townsend,F,USA,Null,L,1997
201693,Timea Babos,F,HUN,179.0,R,1993
202460,Ons Jabeur,F,TUN,167.0,R,1994
214954,Marketa Vondrousova,F,CZE,173.0,L,1999
201516,Evgeniya Rodina,F,RUS,Null,R,1991
